ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,z_close
000001.SZ,1991-05-13,0.9899880515841952,0.9899880515841952,0.9899880515841952,0.9899880515841952,0.9950393571662839,2.0082644628098594,2.0181415037290873,0.95,0.9404761904761905,-0.23451277633882642
000001.SZ,1991-05-14,0.9850026780931976,0.9850026780931976,0.9850026780931976,0.9850026780931976,0.9850770744506395,1.0,1.0151179197742393,2.75,2.7023809523809526,-0.33666961057478784
000001.SZ,1991-05-15,0.9799761031683902,0.9799761031683902,0.9799761031683902,0.9799761031683902,0.9801164316169235,1.0082644628098925,1.0286232614392259,19.35,18.94047619047619,-0.4396707161680695
000001.SZ,1991-05-16,0.9749907296773929,0.9749907296773929,0.9749907296773929,0.9749907296773929,0.975114791734995,0.9999999999999587,1.0253981052207217,24.65,24.011904761904763,-0.5418275504040264
000001.SZ,1991-05-17,0.9702113633554449,0.9702113633554449,0.9702113633554449,0.9702113633554449,0.9701541489012792,0.9586776859503974,0.9881072364442653,20.95,20.30952380952381,-0.6397630278533752
000001.SZ,1991-05-20,0.9901902497027348,0.9901902497027348,0.9901902497027348,0.9901902497027348,0.9950980392156863,1.991379310344819,2.001223990208078,0.12171837708830549,0.1201641266119578,-0.23036947198745256
000001.SZ,1991-05-21,0.9852641413283506,0.9852641413283506,0.9852641413283506,0.9852641413283506,0.9853363759296823,1.0,1.014891880864953,0.15035799522673032,0.14830011723329425,-0.3313118863399732
000001.SZ,1991-05-22,0.9803380329539664,0.9803380329539664,0.9803380329539664,0.9803380329539664,0.9804344151453684,1.0,1.0199918400652794,0.1026252983293556,0.10023446658851114,-0.4322543006924939
000001.SZ,1991-05-23,0.9754119245795821,0.9754119245795821,0.9754119245795821,0.9754119245795821,0.9755324543610547,1.0,1.0250917992656057,0.0405727923627685,0.03927315357561548,-0.5331967150450145
000001.SZ,1991-05-24,0.9705282826567012,0.9705282826567012,0.9705282826567012,0.9705282826567012,0.970630493576741,0.9913793103448104,1.021419828641371,0.007159904534606206,0.007033997655334115,-0.6332689361703586
000001.SZ,1991-05-27,0.9898486041830751,0.9898486041830751,0.9898486041830751,0.9898486041830751,0.9949932517741304,2.0173913043478695,2.027361693628919,1.6666666666666667,1.5833333333333333,-0.23737023627970968
000001.SZ,1991-05-28,0.984816662291065,0.984816662291065,0.984816662291065,0.984816662291065,0.984892681440202,1.0,1.0153784701418014,1.0,1.0,-0.34048131806231036
000001.SZ,1991-05-29,0.9800035004813161,0.9800035004813161,0.9800035004813161,0.9800035004813161,0.9798859332143325,0.9565217391304601,0.9760335530257639,12.0,11.583333333333334,-0.43910930933262676
000001.SZ,1991-05-30,0.9751903386715672,0.9751903386715672,0.9751903386715672,0.9751903386715672,0.9750968696939354,0.9565217391304601,0.980826842420611,4.666666666666667,4.5,-0.5377373006029432
000001.SZ,1991-05-31,0.9703771768618183,0.9703771768618183,0.9703771768618183,0.9703771768618183,0.9703078061735382,0.9565217391304601,0.9858198522069103,0.3333333333333333,0.3333333333333333,-0.6363652918732596
000001.SZ,1991-06-10,0.989776001487127,0.989776001487127,0.989776001487127,0.989776001487127,0.9949140003698911,2.000000000000091,2.010224144710971,15.0,13.75,-0.238857960637463
000001.SZ,1991-06-11,0.984942838553769,0.984942838553769,0.984942838553769,0.984942838553769,0.9847420011096727,0.9454545454545524,0.9600865119937081,12.0,11.0,-0.33789580113427353
000001.SZ,1991-06-12,0.9801096756204107,0.9801096756204107,0.9801096756204107,0.9801096756204107,0.979933419641206,0.945454545454589,0.9648053480141564,15.0,13.75,-0.43693364163108855
000001.SZ,1991-06-13,0.9752300399665396,0.9752300399665396,0.9752300399665396,0.9752300399665396,0.9751248381727391,0.9545454545454801,0.9789618560755013,34.0,30.75,-0.5369237690557553
000001.SZ,1991-06-14,0.9703968770331813,0.9703968770331813,0.9703968770331813,0.9703968770331813,0.9702700203439986,0.945454545454589,0.9744396382225716,7.0,6.25,-0.6359616095525703
000001.SZ,1991-06-17,0.99003879124563,0.99003879124563,0.99003879124563,0.99003879124563,0.9950440791041218,1.999999999999971,2.0098870056497176,0.7142857142857143,0.72,-0.23347305420130957
000001.SZ,1991-06-18,0.9850581868684452,0.9850581868684452,0.9850581868684452,0.9850581868684452,0.9851322373123659,0.9999999999999615,1.015133171912833,1.4285714285714286,1.4,-0.33553216304716704
000001.SZ,1991-06-19,0.9800775824912601,0.9800775824912601,0.9800775824912601,0.9800775824912601,0.9801763164164881,1.0,1.0201775625504441,8.142857142857142,8.08,-0.43759127189302904
000001.SZ,1991-06-20,0.9750969781140749,0.9750969781140749,0.9750969781140749,0.9750969781140749,0.9752203955206099,1.0,1.0254237288135593,4.285714285714286,4.2,-0.5396503807388933
000001.SZ,1991-06-21,0.9701163737368901,0.9701163737368901,0.9701163737368901,0.9701163737368901,0.9702644746247319,0.9999999999999615,1.0306698950766748,0.2857142857142857,0.28,-0.6417094895847507
000001.SZ,1991-06-24,0.9899787727699066,0.9899787727699066,0.9899787727699066,0.9899787727699066,0.9948921958646433,1.9519230769231526,1.9618245888801877,12.5,12.428571428571429,-0.2347029113998999
000001.SZ,1991-06-25,0.9851409389346892,0.9851409389346892,0.9851409389346892,0.9851409389346892,0.9849221551004371,0.9423076923077003,0.9567345340642129,6.0,5.857142857142857,-0.3338364647952215
000001.SZ,1991-06-26,0.9803031050994717,0.9803031050994717,0.9803031050994717,0.9803031050994717,0.9801090319728895,0.9423076923077195,0.961433046202036,2.0,2.0,-0.4329700181905453
000001.SZ,1991-06-27,0.9754159056128745,0.9754159056128745,0.9754159056128745,0.9754159056128745,0.9752959088453417,0.9519230769231045,0.9759201252936569,2.0,2.0,-0.5331151384572484
000001.SZ,1991-06-28,0.9705780717776571,0.9705780717776571,0.9705780717776571,0.9705780717776571,0.9704336722164925,0.9423076923077195,0.971025841816758,1.0,1.0,-0.63224869185257
000001.SZ,1991-07-29,0.9900195021222897,0.9900195021222897,0.9900195021222897,0.9900195021222897,0.9901743624694724,1.0057803468208206,1.0156727050681864,2.3333333333333335,2.3333333333333335,-0.2338683136094936
000001.SZ,1991-07-30,0.9850866123666399,0.9850866123666399,0.9850866123666399,0.9850866123666399,0.9802919293462827,0.49710982658959524,0.5071239568491757,2.3333333333333335,2.3333333333333335,-0.3349496873485268
000001.SZ,1991-07-31,0.9800963634277848,0.9800963634277848,0.9800963634277848,0.9800963634277848,0.97540750837735,0.5028901734104047,0.5155709342560554,0.3333333333333333,0.3333333333333333,-0.4372064258984774
000001.SZ,1991-08-01,0.9751061144889296,0.9751061144889296,0.9751061144889296,0.9751061144889296,0.9704662918157552,0.5028901734104162,0.5182169753714634,2.3333333333333335,2.2222222222222223,-0.5394631644484326
000001.SZ,1991-08-02,0.9701158655500746,0.9701158655500746,0.9701158655500746,0.9701158655500746,0.9655250752541603,0.5028901734104047,0.5208630164868716,0.3333333333333333,0.3333333333333333,-0.6417199029983831
